,SSBS,SSB,MaxAbundance,TotalAbundance,RescaledAbundance,Sample_midpoint,Latitude,Longitude,Study_common_taxon,Predominant_land_use,Max_linear_extent_metres,geometry
520,AD1_2007__Winfree 1  12,AD1_2007__Winfree 1 ,215.0,63.0,0.2930232558139535,2003-06-14,39.90887,-74.53156,Apidae,Primary vegetation,110.453610171873,POINT (-74.53156 39.90887)
519,AD1_2007__Winfree 1  11,AD1_2007__Winfree 1 ,215.0,29.0,0.13488372093023257,2003-06-14,39.91778,-74.56837,Apidae,Urban,110.453610171873,POINT (-74.56837 39.91778)
538,AD1_2007__Winfree 1  30,AD1_2007__Winfree 1 ,215.0,33.0,0.15348837209302327,2003-06-14,39.94114,-74.53922,Apidae,Primary vegetation,110.453610171873,POINT (-74.53922 39.94114)
1904,AD1_2009__Julier 1 9 2,AD1_2009__Julier 1 9,891.0,152.0,0.17059483726150393,2006-07-31,37.447433,-77.05312,Apidae,Cropland,250.0,POINT (-77.05312 37.447433)
1907,AD1_2009__Julier 1 3 5,AD1_2009__Julier 1 3,891.0,126.0,0.1414141414141414,2006-07-31,37.5,-77.4,Apidae,Cropland,250.0,POINT (-77.4 37.5)
1920,AD1_2009__Julier 1 9 18,AD1_2009__Julier 1 9,891.0,493.0,0.55331088664422,2006-07-31,37.524506,-77.011006,Apidae,Cropland,250.0,POINT (-77.011006 37.524506)
1915,AD1_2009__Julier 1 3 13,AD1_2009__Julier 1 3,891.0,402.0,0.4511784511784512,2006-07-31,37.566899,-77.434292,Apidae,Cropland,250.0,POINT (-77.434292 37.566899)
65,AD1_2005__Shuler 1  17,AD1_2005__Shuler 1 ,2.0,0.37,0.185,2003-07-21,38.5297194444,-78.138725,Hymenoptera,Cropland,284.494639668307,POINT (-78.138725 38.5297194444)
71,AD1_2005__Shuler 1  23,AD1_2005__Shuler 1 ,2.0,0.55,0.275,2003-07-21,38.5955666667,-77.9833777778,Hymenoptera,Cropland,1025.76001091873,POINT (-77.9833777778 38.5955666667)
70,AD1_2005__Shuler 1  22,AD1_2005__Shuler 1 ,2.0,0.21,0.105,2003-07-21,38.6160416667,-78.0935222222,Hymenoptera,Cropland,1865.55611011837,POINT (-78.0935222222 38.6160416667)
73,AD1_2005__Shuler 1  25,AD1_2005__Shuler 1 ,2.0,0.47,0.235,2003-07-21,38.8026722222,-78.0017333333,Hymenoptera,Cropland,1334.39814148552,POINT (-78.0017333333 38.8026722222)
53,AD1_2005__Shuler 1  5,AD1_2005__Shuler 1 ,2.0,1.28,0.64,2003-07-21,39.2789638889,-77.2764083333,Hymenoptera,Cropland,1422.47319834154,POINT (-77.2764083333 39.2789638889)
55,AD1_2005__Shuler 1  7,AD1_2005__Shuler 1 ,2.0,0.3,0.15,2003-07-21,39.2896888889,-77.6034861111,Hymenoptera,Cropland,568.989279336615,POINT (-77.6034861111 39.2896888889)
57,AD1_2005__Shuler 1  9,AD1_2005__Shuler 1 ,2.0,0.36,0.18,2003-07-21,39.2960444444,-77.7520472222,Hymenoptera,Cropland,238.025292773688,POINT (-77.7520472222 39.2960444444)
67,AD1_2005__Shuler 1  19,AD1_2005__Shuler 1 ,2.0,0.12,0.06,2003-07-21,39.3114694444,-78.322325,Hymenoptera,Cropland,2106.02909761475,POINT (-78.322325 39.3114694444)
1914,AD1_2009__Julier 1 7 12,AD1_2009__Julier 1 7,891.0,135.0,0.15151515151515152,2006-07-31,39.313984,-77.490506,Apidae,Cropland,250.0,POINT (-77.490506 39.313984)
1912,AD1_2009__Julier 1 7 10,AD1_2009__Julier 1 7,891.0,200.0,0.2244668911335578,2006-07-31,39.326011,-77.435604,Apidae,Cropland,250.0,POINT (-77.435604 39.326011)
1921,AD1_2009__Julier 1 10 19,AD1_2009__Julier 1 10,891.0,640.0,0.7182940516273849,2006-07-31,39.413655,-77.470087,Apidae,Cropland,250.0,POINT (-77.470087 39.413655)
1903,AD1_2009__Julier 1 1 1,AD1_2009__Julier 1 1,891.0,446.0,0.500561167227834,2006-07-31,39.528448,-77.391225,Apidae,Cropland,250.0,POINT (-77.391225 39.528448)
524,AD1_2007__Winfree 1  16,AD1_2007__Winfree 1 ,215.0,40.0,0.18604651162790697,2003-06-14,39.59693,-74.76373,Apidae,Cropland,110.453610171873,POINT (-74.76373 39.59693)
533,AD1_2007__Winfree 1  25,AD1_2007__Winfree 1 ,215.0,10.0,0.046511627906976744,2003-06-14,39.60612,-74.74925,Apidae,Primary vegetation,110.453610171873,POINT (-74.74925 39.60612)
542,AD1_2007__Winfree 1  34,AD1_2007__Winfree 1 ,215.0,66.0,0.30697674418604654,2003-06-14,39.62461,-74.7967,Apidae,Primary vegetation,110.453610171873,POINT (-74.7967 39.62461)
523,AD1_2007__Winfree 1  15,AD1_2007__Winfree 1 ,215.0,126.0,0.586046511627907,2003-06-14,39.62807,-74.82323,Apidae,Cropland,110.453610171873,POINT (-74.82323 39.62807)
509,AD1_2007__Winfree 1  1,AD1_2007__Winfree 1 ,215.0,53.0,0.24651162790697675,2003-06-14,39.6385,-74.8141,Apidae,Urban,110.453610171873,POINT (-74.8141 39.6385)
525,AD1_2007__Winfree 1  17,AD1_2007__Winfree 1 ,215.0,48.0,0.22325581395348837,2003-06-14,39.63878,-74.89248,Apidae,Primary vegetation,110.453610171873,POINT (-74.89248 39.63878)
522,AD1_2007__Winfree 1  14,AD1_2007__Winfree 1 ,215.0,59.0,0.2744186046511628,2003-06-14,39.64144,-74.7919,Apidae,Urban,110.453610171873,POINT (-74.7919 39.64144)
518,AD1_2007__Winfree 1  10,AD1_2007__Winfree 1 ,215.0,46.0,0.21395348837209302,2003-06-14,39.6598,-74.82993,Apidae,Primary vegetation,110.453610171873,POINT (-74.82993 39.6598)
527,AD1_2007__Winfree 1  19,AD1_2007__Winfree 1 ,215.0,208.0,0.9674418604651163,2003-06-14,39.666061,-74.797002,Apidae,Cropland,110.453610171873,POINT (-74.797002 39.666061)
546,AD1_2007__Winfree 1  38,AD1_2007__Winfree 1 ,215.0,68.0,0.31627906976744186,2003-06-14,39.68315,-74.80405,Apidae,Primary vegetation,110.453610171873,POINT (-74.80405 39.68315)
1917,AD1_2009__Julier 1 1 15,AD1_2009__Julier 1 1,891.0,148.0,0.16610549943883277,2006-07-31,39.683188,-77.452743,Apidae,Cropland,250.0,POINT (-77.452743 39.683188)
541,AD1_2007__Winfree 1  33,AD1_2007__Winfree 1 ,215.0,215.0,1.0,2003-06-14,39.68956,-74.88151,Apidae,Urban,110.453610171873,POINT (-74.88151 39.68956)
